"time","firing","ahp","protocol","condition","lobules","geontype","cell_id"
1,1.09792284866469,-9.10850353978,"SD","oxo_m","ix_x","wt","20150806_2"
2,0.979228486646884,-8.97506830574667,"SD","oxo_m","ix_x","wt","20150806_2"
3,0.979228486646884,-8.62830204312666,"SD","oxo_m","ix_x","wt","20150806_2"
4,1.00890207715134,-8.48792499088,"SD","oxo_m","ix_x","wt","20150806_2"
5,0.979228486646884,-8.41571603835999,"SD","oxo_m","ix_x","wt","20150806_2"
6,0.979228486646884,-8.58698854483333,"SD","oxo_m","ix_x","wt","20150806_2"
7,0.979228486646884,-8.26736838534334,"SD","oxo_m","ix_x","wt","20150806_2"
8,0.949554896142433,-8.90610493763666,"SD","oxo_m","ix_x","wt","20150806_2"
9,0.949554896142433,-8.96662226698667,"SD","oxo_m","ix_x","wt","20150806_2"
10,1.09792284866469,-8.15745338492667,"SD","oxo_m","ix_x","wt","20150806_2"
16,1.15727002967359,-7.89627917321666,"SD","oxo_m","ix_x","wt","20150806_2"
17,1.27596439169139,-7.40146880530333,"SD","oxo_m","ix_x","wt","20150806_2"
18,1.21661721068249,-7.17675108694,"SD","oxo_m","ix_x","wt","20150806_2"
19,1.30563798219585,-6.90774060217667,"SD","oxo_m","ix_x","wt","20150806_2"
20,1.3946587537092,-6.46106668297,"SD","oxo_m","ix_x","wt","20150806_2"
21,1.54302670623145,-5.86337406860334,"SD","oxo_m","ix_x","wt","20150806_2"
22,1.72106824925816,-5.40470563573667,"SD","oxo_m","ix_x","wt","20150806_2"
23,1.81008902077151,-4.84659887518667,"SD","oxo_m","ix_x","wt","20150806_2"
24,1.83976261127596,-4.73111857714333,"SD","oxo_m","ix_x","wt","20150806_2"
25,2.10682492581602,-4.24028021546,"SD","oxo_m","ix_x","wt","20150806_2"
26,2.13649851632047,-4.16735071034333,"SD","oxo_m","ix_x","wt","20150806_2"
27,2.13649851632047,-4.20409585335,"SD","oxo_m","ix_x","wt","20150806_2"
28,2.16617210682493,-4.41445422712,"SD","oxo_m","ix_x","wt","20150806_2"
29,2.19584569732938,-4.48532433814667,"SD","oxo_m","ix_x","wt","20150806_2"
30,2.13649851632047,-4.60732066514,"SD","oxo_m","ix_x","wt","20150806_2"
31,2.13649851632047,-4.84002283217667,"SD","oxo_m","ix_x","wt","20150806_2"
32,2.07715133531157,-5.06973624549,"SD","oxo_m","ix_x","wt","20150806_2"
33,2.07715133531157,-5.24005062563667,"SD","oxo_m","ix_x","wt","20150806_2"
34,2.07715133531157,-5.28118983075999,"SD","oxo_m","ix_x","wt","20150806_2"
35,2.10682492581602,-5.18077594506334,"SD","oxo_m","ix_x","wt","20150806_2"
36,2.10682492581602,-5.08586838574,"SD","oxo_m","ix_x","wt","20150806_2"
37,2.13649851632047,-4.98893942607666,"SD","oxo_m","ix_x","wt","20150806_2"
38,2.16617210682493,-4.94780221964,"SD","oxo_m","ix_x","wt","20150806_2"
39,2.34421364985163,-4.54344455383666,"SD","oxo_m","ix_x","wt","20150806_2"
40,4.48071216617211,-2.44872389155136,"SD","oxo_m","ix_x","wt","20150806_2"
